Corp,corp_code,Securities,sec_code,Bank,bank_code,en_caption,category_code,parent_code
,,"2.8. Chi phí hoạt động bảo lãnh, đại lý phát hành chứng khoán",IS_028,,,(Income statement) (Securities) Underwriting and issuance agent expenses,IS_031,IS_036
,,2.9. Chi phí tư vấn đầu tư chứng khoán,IS_029,,,(Income statement) (Securities) Investment advisory expenses,IS_032,IS_036
,,2.11. Chi phí lưu ký chứng khoán,IS_030,,,(Income statement) (Securities) Custody expenses,IS_033,IS_036
,,     Chi phí hoạt động tư vấn tài chính,IS_031,,,(Income statement) (Securities) Financial commission expenses,IS_030.2,IS_036
,,2.12. Chi phí khác,IS_032,,,(Income statement) (Securities) Other expenses,IS_034,IS_036
4. Giá vốn hàng bán,IS_011,Cộng chi phí hoạt động,IS_040,2. Chi phí lãi và các chi phí tương tự,IS_002,(Income statement) Cost of goods sold,IS_036,IS_036
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),IS_020,Gross profit from sales and services rendered,IS_040.1,I. Thu nhập lãi thuần,IS_003,(Income statement) Gross profit (Gross income) from sales and services (from collecting interest if bank),IS_040,IS_040
,,,,Tổng thu nhập hoạt động,IS_030,(Income statement) (Bank) Total Income from Activities,IS_150,IS_151
,,,,3. Thu nhập từ hoạt động dịch vụ,IS_004,(Income statement) (Bank) Income from Service Activities,IS_151,IS_153
,,,,4. Chi phí hoạt động dịch vụ,IS_005,(Income statement) (Bank) Expenses from Service Activities,IS_152,IS_153
,,,,II. Lãi/lỗ thuần từ hoạt động dịch vụ,IS_006,(Income statement) (Bank) Net Profit/Loss from Service Activities,IS_153,IS_153
,,3.1. Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện,IS_041,,,(Income statement) (Securities) Exchange rate gain (realized and unrealized),IS_041,IS_045
,,"3.2. Doanh thu, dự thu cổ tức, lãi tiền gửi không cố định phát sinh trong kỳ",IS_042,,,"(Income statement) (Securities) Revenue, accrued dividend, and interest from non-fixed deposits generated during the period",IS_042,IS_045
,,"3.3. Lãi bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh",IS_043,,,"(Income statement) (Securities) Gain on sale and liquidation of investments in subsidiaries, associates, and joint ventures",IS_043,IS_045
,,3.4. Doanh thu khác về đầu tư,IS_044,,,(Income statement) (Securities) Other investment revenue,IS_044,IS_045
6. Doanh thu hoạt động tài chính,IS_021,Cộng doanh thu hoạt động tài chính,IS_050,,,(Income statement) Financial income,IS_045,IS_045
,,4.1. Chênh lệch lỗ tỷ giá hối đoái đã và chưa thực hiện,IS_051,,,(Income statement) (Securities) Exchange rate loss (realized and unrealized),IS_046,IS_050
,,Chi phí dự phòng suy giảm giá trị các khoản đầu tư tài chính dài hạn,IS_053,,,(Income statement) (Securities) Provision expenses for impairment of long-term financial investments,IS_047,IS_050
,,4.4. chi phí tài chính khác,IS_054,,,(Income statement) (Securities) Other financial expenses,IS_048,IS_050
7. Chi phí tài chính,IS_022,Cộng chi phí tài chính,IS_060,,,(Income statement) Financial expenses,IS_050,IS_050
- Trong đó: Chi phí lãi vay,IS_023,4.2. Chi phí lãi vay,IS_052,,,(Income statement) Of which: Interest expenses,IS_049,IS_050
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",IS_024,x,,,,(Income statement) Share of profit/(loss) from joint ventures and associates,IS_051,IS_051
9. Chi phí bán hàng,IS_025,x,IS_061,,,(Income statement) Selling expenses,IS_052,IS_052
,,,,III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối,IS_007,(Income statement) (Bank) Net profit/(loss) from foreign exchange trading,IS_053,IS_053
,,,,IV. Lãi /lỗ thuần từ mua bán chứng khoán kinh doanh,IS_008,(Income statement) (Bank) Net profit/(loss) from trading of trading securities,IS_054,IS_054
,,,,V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,IS_009,(Income statement) (Bank) Net profit/(loss) from trading of investment securities,IS_055,IS_055
,,,,"VII. Thu nhập từ góp vốn, mua cổ phần",IS_013,"(Income statement) (Bank) Income from capital contributions, share purchases",IS_056,IS_056
,IS_027,,IS_095,VIII. Chi phí hoạt động,IS_014,(Income statement) Total Operating Costs,IS_057,IS_057
10. Chi phí quản lý doanh nghiệp,IS_026,x,IS_062,,,(Income statement) Administrative expenses,IS_058,IS_058
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},IS_030,x,IS_070,IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,IS_015,(Income statement) Net profit from operating activities,IS_060,IS_060
,,,,X. Chi phí dự phòng rủi ro tín dụng,IS_016,(Income statement) (Bank) Provision for credit losses,IS_061,IS_061
12. Thu nhập khác,IS_031,8.1. Thu nhập khác,IS_071,5. Thu nhập từ hoạt động khác,IS_010,(Income statement) Other income,IS_062,IS_062
13. Chi phí khác,IS_032,8.2. Chi phí khác,IS_072,6. Chi phí hoạt động khác,IS_011,(Income statement) Other expenses,IS_063,IS_063
14. Lợi nhuận khác(40=31-32),IS_040,Cộng kết quả hoạt động khác,IS_080,VI. Lãi/lỗ thuần từ hoạt động khác,IS_012,(Income statement) Other profit/(loss),IS_070,IS_070
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),IS_050,IX. TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ,IS_090,XI. Tổng lợi nhuận trước thuế,IS_017,(Income statement) Total profit before tax,IS_080,IS_080
,,9.1. Lợi nhuận đã thực hiện,IS_091,,,(Income statement) (Securities) Realized profit,IS_081,IS_080
,,9.2. Lợi nhuận chưa thực hiện,IS_092,,,(Income statement) (Securities) Unrealized profit,IS_082,IS_080
CHI PHÍ THUẾ TNDN,IS_050.1,X. CHI PHÍ THUẾ TNDN,IS_100,XII. Chi phí thuế TNDN,IS_020,(Income statement) Corporate income tax expenses,IS_090,IS_090
16. Chi phí thuế TNDN hiện hành,IS_051,10.1. Chi phí thuế TNDN hiện hành,IS_100.1,7. Chi phí thuế TNDN hiện hành,IS_018,(Income statement) Current corporate income tax expense,IS_091,IS_090
17. Chi phí thuế TNDN hoãn lại,IS_052,10.2. Chi phí thuế TNDN hoãn lại,IS_100.2,8. Chi phí thuế TNDN hoãn lại,IS_019,(Income statement) Deferred corporate income tax expense,IS_092,IS_090
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),IS_060,XI. LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN,IS_200,XIII. Lợi nhuận sau thuế,IS_021,(Income statement) Profit after corporate income tax (Net Income),IS_100,IS_100
,,11.1. Lợi nhuận sau thuế phân bổ cho chủ sở hữu,IS_201,,,(Income statement) (Securities) Profit after tax attributable to owners of the company,IS_101,IS_100
,,"11.2. Lợi nhuận sau thuế trích các Quỹ dự trữ điều lệ, Quỹ Dự phòng tài chính và rủi ro nghề nghiệp theo quy định của Điều lệ Công ty là %)",IS_202,,,"(Income statement) (Securities) Profit after tax allocated to statutory reserves, financial reserves, and professional risk reserves as per the company's charter",IS_102,IS_100
19. Lợi nhuận sau thuế công ty mẹ,IS_061,,,,IS_022.1,(Income statement) Profit after tax attributable to the parent company,IS_103,IS_100
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,IS_062,11.3. Lợi nhuận thuần phân bổ cho lợi ích của cổ đông không kiểm soát,IS_203,XIV. Lợi ích của cổ đông thiểu số,IS_022,(Income statement) Profit after tax attributable to non-controlling interests,IS_104,IS_100
,,XII. THU NHẬP (LỖ) TOÀN DIỆN KHÁC SAU THUẾ TNDN,IS_300,,,(Income statement) (Securities) OTHER COMPREHENSIVE INCOME (LOSS) AFTER TAX,IS_110,IS_110
,,Tổng thu nhập toàn diện khác,IS_400,,,(Income statement) (Securities) Total comprehensive income,IS_111,IS_110
,,Thu nhập toàn diện khác phân bổ cho chủ sở hữu,IS_401,,,(Income statement) (Securities) Comprehensive income attributable to owners of the company,IS_112,IS_110
,,XIII. THU NHẬP THUẦN TRÊN CỔ PHIẾU PHỔ THÔNG,IS_500,,,(Income statement) (Securities) XIII. EARNINGS PER COMMON SHARE,IS_120,IS_120
21. Lãi cơ bản trên cổ phiếu(*),IS_070,13.1. Lãi cơ bản trên cổ phiếu (Đồng/1 cổ phiếu),IS_501,XV. Lãi cơ bản trên cổ phiếu,IS_023,(Income statement) Basic earnings per share,IS_130,IS_130
22. Lãi suy giảm trên cổ phiếu (*),IS_071,13.2. Thu nhập pha loãng trên cổ phiếu (Đồng/1 cổ phiếu),IS_502,,IS_024,(Income statement) Diluted earnings per share,IS_140,IS_140
1. Lợi nhuận trước thuế,CF_001,Lợi nhuận trước thuế TNDN,CF_001,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,CF_001,(Cash flow) Profit before tax,CF_001,CF_001
,,,,3. Thu nhập từ hoạt động dịch vụ nhận được,CF_003,(Cash flow) (Bank) Income from service activities received,CF_002,CF_001
- Khấu hao TSCĐ và BĐSĐT,CF_002,Khấu hao tài sản cố định,CF_003,,,(Cash flow) Depreciation of fixed assets and investment properties,CF_003,CF_001
- Các khoản dự phòng,CF_003,Các khoản dự phòng,CF_004,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro",CF_006,(Cash flow) Provisions,CF_004,CF_001
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",CF_004,,CF_005,"4. Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh(ngoại tệ,vàng bạc,chứng khoán)",CF_004,(Cash flow) Foreign exchange gains/losses due to revaluation of foreign currency monetary items,CF_005,CF_001
"- Lãi, lỗ từ hoạt động đầu tư",CF_005,Lãi/lỗ hoạt động đầu tư,CF_007,,,(Cash flow) Gains/losses from investment activities,CF_006,CF_001
- Chi phí lãi vay,CF_006,Chi phí lãi vay,CF_006,2. Chi phí lãi và các chi phí tương tự đã trả,CF_002,(Cash flow) Interest expenses,CF_007,CF_001
- Các khoản điều chỉnh khác,CF_007,,,5. Thu nhập khác,CF_005,(Cash flow) Other adjustment/ income,CF_008,CF_001
,,,,"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ(*)",CF_007,"(Cash flow) (Bank) Payments to employees and for administrative, public services",CF_009,CF_001
,,Dự thu tiền lãi,CF_008,,,(Cash flow) (Securities) Accrued interest income,CF_010,CF_001
,, Tăng các chi phí phi tiền tệ,CF_010,,,(Cash flow) (Securities) Increase non-monetary costs,CF_011,CF_001
,,Giảm các doanh thu phi tiền tệ,CF_018,,,(Cash flow) (Securities) Decrease non-monetary costs,CF_012,CF_001
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,CF_008,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,CF_030,B. Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,CF_009,(Cash flow) Profit from business activities before changes in working capital,CF_020,CF_020
,,,,9. (Tăng)/Giảm các khoản tiền gửi và cho vay các TCTD khác,CF_010,(Cash flow) (Bank) (Increase)/Decrease in deposits and loans to other credit institutions,CF_021,CF_020
,,,,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác,CF_012,(Cash flow) (Bank) (Increase)/Decrease in derivative financial instruments and other financial assets,CF_022,CF_020
,,,,12. (Tăng)/Giảm các khoản cho vay khách hàng,CF_013,(Cash flow) (Bank) (Increase)/Decrease in loans to customers,CF_023,CF_020
,,,,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,CF_014,(Cash flow) (Bank) Decrease in provisions for covering losses,CF_024,CF_020
,,,,14. (Tăng)/Giảm khác về tài sản hoạt động,CF_015,(Cash flow) (Bank) (Increase)/Decrease in other operating assets,CF_025,CF_020
,,,,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,CF_016,(Cash flow) (Bank) Increase/(Decrease) in government and central bank debts,CF_026,CF_020
,,,,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",CF_017,(Cash flow) (Bank) Increase/(Decrease) in deposits and loans from credit institutions,CF_027,CF_020
,,,,17. Tăng/(Giảm) tiền gửi của khách hàng(bao gồm cả kho bạc nhà nước),CF_018,(Cash flow) (Bank) Increase/(Decrease) in customer deposits (including the state treasury),CF_028,CF_020
,,,,18. Tăng(/Giảm) phát hành giấy tờ có giá(ngoại trừ giấy tờ có giá phát hành được tính vào hoạt động tài chính),CF_019,(Cash flow) (Bank) Increase/(Decrease) in issuance of valuable papers (excluding those recognized as financial activities),CF_029,CF_020
,,,,"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",CF_020,"(Cash flow) (Bank) Increase/(Decrease) in grants, investment trusts, loans to risk-bearing credit institutions",CF_030,CF_020
,,,,20. Tăng/ (Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,CF_021,(Cash flow) (Bank) Increase/(Decrease) in derivative financial instruments and other financial liabilities,CF_031,CF_020
,,,,21. Tăng/ (Giảm) khác về công nợ hoạt động,CF_022,(Cash flow) (Bank) Increase/(Decrease) in other operating liabilities,CF_032,CF_020
,,,,22. Chi từ các quỹ của TCTD(*),CF_023,(Cash flow) (Bank) Payments from the funds of credit institutions,CF_033,CF_020
,,          Tăng (giảm) tài sản tài chính ghi nhận thông qua lãi/ lỗ (FVTPL),CF_031,,,(Cash flow) (Securities) Increase (decrease) in financial assets recognized through profit or loss (FVTPL),CF_200,CF_020
,,          Tăng (giảm) các khoản đầu tư giữ đến ngày đáo hạn (HTM),CF_032,,,(Cash flow) (Securities) Increase (decrease) in held-to-maturity investments (HTM),CF_201,CF_020
,,          Tăng(giảm) các khoản cho vay,CF_033,,,(Cash flow) (Securities) Increase (decrease) in loans granted,CF_202,CF_020
,,          Tăng (giảm) tài sản tài chính sẵn sàng để bán AFS,CF_034,,,(Cash flow) (Securities) Increase (decrease) in available-for-sale financial assets (AFS),CF_203,CF_020
,,"          (-) Tăng, (+) giảm phải thu bán các tài sản tài chính",CF_035,,,"(Cash flow) (Securities) (-) Increase, (+) decrease in receivables from the sale of financial assets",CF_204,CF_020
,,"          (-) Tăng, (+) giảm phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính",CF_036,,,"(Cash flow) (Securities) (-) Increase, (+) decrease in receivables and accrued income from dividends and interest on financial assets",CF_205,CF_020
,,"          (-) Tăng, (+) giảm các khoản phải thu các dịch vụ CTCK cung cấp",CF_037,,,"(Cash flow) (Securities) (-) Increase, (+) decrease in receivables from services provided by securities companies",CF_206,CF_020
,,Tăng/giảm các khoản phải thu khác,CF_039,,,(Cash flow) (Securities) Increase/decrease in receivables,CF_207,CF_020
"- Tăng, giảm các khoản phải thu",CF_009,,,,,(Cash flow) (Corporate) Increase/decrease in receivables,CF_034,CF_020
"- Tăng, giảm hàng tồn kho",CF_010,,,,,(Cash flow) (Corporate) Increase/decrease in inventories,CF_035,CF_020
,,          Tăng/giảm các tài sản khác,CF_040,,,(Cash flow) (Securities) Increase/decrease in other assets,CF_220,CF_020
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",CF_011,,CF_041,,,"(Cash flow) Increase/decrease in payables (excluding interest payable, corporate income tax payable)",CF_036,CF_020
"- Tăng, giảm chi phí trả trước",CF_012,Tăng/giảm chi phí trả trước,CF_042,,,(Cash flow) Increase/decrease in prepaid expenses,CF_037,CF_020
"- Tăng, giảm chứng khoán kinh doanh",CF_013,,,10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,CF_011,(Cash flow) Increase/decrease in trading securities,CF_038,CF_020
- Tiền lãi vay đã trả,CF_014,Lãi vay phải trả,CF_044,,,(Cash flow) Interest paid,CF_039,CF_020
- Thuế thu nhập doanh nghiệp đã nộp,CF_015,Thuế TNDN đã trả,CF_043,8. Tiền thuế thu nhập thực nộp trong kỳ(*),CF_008,(Cash flow) Corporate income tax paid,CF_040,CF_020
,,"          (+) Tăng, (-) giảm phải trả cho người bán",CF_045,,,"(Cash flow) (Securities) (+) Increase, (-) decrease in payables to suppliers",CF_210,CF_020
,,"          (+) Tăng, (-) giảm các khoản trích nộp phúc lợi nhân viên",CF_046,,,"(Cash flow) (Securities) (+) Increase, (-) decrease in employee benefit contributions",CF_211,CF_020
,,"          (+) Tăng, (-) giảm thuế và các khoản phải nộp Nhà nước",CF_047,,,"(Cash flow) (Securities) (+) Increase, (-) decrease in taxes and obligations payable to the State",CF_212,CF_020
,,"          (+) Tăng, (-) giảm phải trả người lao động",CF_048,,,"(Cash flow) (Securities) (+) Increase, (-) decrease in payables to employees",CF_213,CF_020
,,Tăng/giảm các khoản phải trả khác,CF_050,,,(Cash flow) (Securities) Increase/decrease in other payables,CF_041,CF_020
- Tiền thu khác từ hoạt động kinh doanh,CF_016,,CF_051,,,(Cash flow) Other cash receipts from business activities,CF_042,CF_020
- Tiền chi khác cho hoạt động kinh doanh,CF_017,,CF_052,,,(Cash flow) Other cash payments for business activities,CF_043,CF_020
Lưu chuyển tiền thuần từ hoạt động kinh doanh,CF_020,Lưu chuyển tiền thuần từ hoạt động kinh doanh,CF_060,I. Lưu chuyển tiền thuần từ hoạt động kinh doanh,CF_024,(Cash flow) Net cash flow from operating activities,CF_050,CF_050
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",CF_021,Tiền mua tài sản cố định và các tài sản dài hạn khác,CF_061,1. Mua sắm tài sản cố định(*),CF_025,"(Cash flow) Cash outflows for purchase, construction of fixed assets and other long-term assets",CF_051,CF_050
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",CF_022,Tiền thu được từ thanh lý tài sản cố định,CF_062,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ",CF_026,(Cash flow) Cash inflows from disposal of fixed assets and other long-term assets,CF_052,CF_050
,,,,"3. Tiền chi từ thanh lý, nhượng bán TSCĐ(*)",CF_027,"(Cash flow) Cash paid for liquidation, sale of fixed assets",CF_053,CF_050
,,,,4. Mua sắm bất động sản đầu tư(*),CF_028,(Cash flow) Purchase of investment property,CF_054,CF_050
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",CF_023,,,,,"(Cash flow) Cash outflows for loans, purchasing debt instruments of other entities",CF_055,CF_050
"4.Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",CF_024,,,,,"(Cash flow) Cash inflows from recovering loans, reselling debt instruments of other entities",CF_056,CF_050
,,,,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư",CF_029,"(Cash flow) (Bank) Cash received from sale, liquidation of investment property",CF_057,CF_050
,,,,"6. Tiền chi ra do bán, thanh lý bất động sản đầu tư (*)",CF_030,"(Cash flow) (Bank) Cash paid for sale, liquidation of investment property",CF_058,CF_050
5.Tiền chi đầu tư góp vốn vào đơn vị khác,CF_025,,CF_063,"7. Tiền chi đầu t­ư, góp vốn vào các đơn vị khác (Chi đầu tư mua công ty con, góp vốn liên doanh, liên kết, và các khoản đầu tư dài hạn khác) (*)",CF_031,(Cash flow) Cash outflows for capital investments in other entities,CF_059,CF_050
6.Tiền thu hồi đầu tư góp vốn vào đơn vị khác,CF_026,,CF_064,"8. Tiền thu đầu t­ư, góp vốn vào các đơn vị khác (Thu bán, thanh lý công ty con, góp vốn liên doanh, liên kết, các khoản đầu tư dài hạn khác)",CF_032,(Cash flow) Cash inflows from recovering capital investments in other entities,CF_060,CF_050
"7.Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",CF_027,,CF_065,"9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",CF_033,"(Cash flow) Cash receipts from interest, dividends, and profit sharing",CF_061,CF_050
Lưu chuyển tiền thuần từ hoạt động đầu tư,CF_030,Lưu chuyển tiền thuần từ hoạt động đầu tư,CF_070,II. Lưu chuyển tiền thuần từ hoạt động đầu tư,CF_034,(Cash flow) Net cash flow from investing activities,CF_070,CF_070
,,,,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,CF_035,(Cash flow) (Bank) Increase in share capital from contributions and/or issuance of shares,CF_071,CF_070
"1.Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",CF_031,,CF_071,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,CF_036,"(Cash flow) Cash inflows from issuing shares, receiving capital contributions from owners",CF_072,CF_070
"2.Tiền trả lại vón góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",CF_032,,CF_072,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác(*),CF_037,"(Cash flow) Cash outflows for repaying capital to owners, buying back issued shares",CF_073,CF_070
,,Tiền vay gốc,CF_073,,,(Cash flow) (Securities) Loan principal received,CF_074,CF_070
3.Tiền thu từ đi vay,CF_033,,,,,(Cash flow) Cash inflows from borrowing,CF_075,CF_070
4.Tiền chi trả nợ gốc vay,CF_034,Tiền chi trả nợ gốc vay,CF_074,,,(Cash flow) Cash outflows for principal debt repayment,CF_076,CF_070
5.Tiền chi trả nợ gốc thuê tài chính,CF_035,,CF_075,,,(Cash flow) Cash outflows for principal payments on finance leases,CF_077,CF_070
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",CF_036,,CF_076,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia(*)",CF_038,"(Cash flow) Dividends, profits paid to owners",CF_078,CF_070
7. Tiền thu từ vốn góp của cổ đông không kiểm soát,CF_037,,,,,(Cash flow) Cash inflows from non-controlling interests' capital contributions,CF_079,CF_070
,,,,5. Tiền chi ra mua cổ phiếu quỹ (*),CF_039,(Cash flow) (Bank) Cash paid for repurchase of treasury shares,CF_080,CF_070
,,,,6. Tiền thu được do bán cổ phiếu quỹ,CF_040,(Cash flow) (Bank) Proceeds from the sale of treasury shares,CF_081,CF_070
Lưu chuyển tiền thuần từ hoạt động tài chính,CF_040,Lưu chuyển tiền tệ từ hoạt động tài chính,CF_080,III.Lưu chuyển tiền thuần từ hoạt động tài chính,CF_041,(Cash flow) Net cash flow from financing activities,CF_090,CF_090
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),CF_050,LƯU CHUYỂN TIỀN THUẦN TRONG KỲ,CF_090,IV.Lưu chuyển tiền thuần trong kỳ,CF_042,(Cash flow) Net cash flow during the period,CF_100,CF_100
Tiền và tương đương tiền đầu kỳ,CF_060,TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN ĐẦU KỲ,CF_101,V. Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,CF_043,(Cash flow) Cash and cash equivalents at the beginning of the period,CF_110,CF_110
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,CF_061,,,VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá,CF_044,(Cash flow) Effects of exchange rate changes on foreign currency conversion,CF_120,CF_120
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61),CF_070,TIỀN VÀ TƯƠNG ĐƯƠNG TIỀN CUỐI KỲ,CF_103,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ,CF_045,(Cash flow) Cash and cash equivalents at the end of the period,CF_130,CF_130
